Time (s),Voltage
3.5,474.4
3.77,474.41
4.34,474.42
4.93,474.42
5.53,474.41
6.16,474.42
6.74,474.42
7.36,474.42
7.98,474.42
8.51,474.42
9.08,474.43
9.7,474.43
10.28,474.42
11.47,474.43
12.07,474.43
12.64,474.42
13.8,474.43
14.44,474.43
15.06,474.43
15.57,474.43
16.16,474.44
16.77,474.44
17.36,474.43
17.97,474.44
18.52,474.44
19.73,474.44
20.34,474.44
20.94,474.44
21.51,474.45
22.09,474.44
22.65,474.44
23.29,474.45
24.47,474.44
25.63,474.45
26.25,474.45
26.82,474.45
27.98,474.46
28.59,474.46
29.19,474.4
29.75,474.43
30.35,474.44
32.74,474.46
33.33,474.46
33.88,474.45
34.48,474.45
35.06,474.46
35.65,474.46
36.27,474.45
36.87,474.46
37.48,474.46
38.63,474.46
39.18,474.46
39.8,474.47
40.47,474.47
41.03,474.46
42.25,474.39
42.92,474.37
43.51,474.36
44.15,474.37
46.03,474.37
46.61,474.36
47.24,474.35
49.16,474.35
49.76,474.07
50.36,473.82
50.97,469.06
51.6,466.1
52.22,461.88
52.89,459.29
54.13,457.35
54.7,457.26
55.34,456.61
55.92,470.95
57.11,471.92
57.76,471.97
58.27,472.07
58.85,472.15
59.41,471.75
60.07,468.97
60.73,470.49
61.36,467.66
61.96,465.77
63.19,464.54
63.78,472.22
64.36,468.96
65.0,468.69
65.65,465.48
66.23,463.83
66.81,464.72
67.43,469.0
68.09,461.84
68.74,462.75
69.35,458.95
69.99,444.65
70.61,445.63
71.17,452.08
71.73,469.56
73.03,466.06
73.6,462.03
74.19,460.99
76.37,455.25
76.95,467.21
77.24,462.74
77.81,470.84
78.41,460.51
79.04,464.9
80.2,466.15
80.76,469.6
81.32,469.76
81.98,469.85
82.6,469.96
83.18,469.47
83.85,470.48
84.46,460.15
85.03,456.22
85.63,467.32
86.27,462.07
86.95,452.44
87.57,448.07
88.2,440.48
88.78,434.55
89.41,435.88
89.99,457.69
90.6,466.78
91.16,466.77
91.79,466.71
92.41,467.02
92.98,466.1
93.59,453.54
94.25,453.31
94.89,452.33
95.53,452.59
96.16,444.52
96.76,428.4
97.43,415.25
98.03,412.09
98.64,427.43
99.26,460.97
99.85,464.66
100.4,464.69
100.97,465.01
101.61,465.46
102.19,465.28
102.8,465.54
104.02,464.42
104.61,464.36
105.22,456.71
105.83,462.89
106.43,453.73
107.04,465.17
107.64,464.34
108.23,459.41
108.85,459.61
109.49,463.75
110.12,459.8
110.75,456.57
112.03,442.31
112.62,436.81
113.18,436.64
113.78,464.73
114.4,465.61
114.99,465.58
115.62,458.8
116.24,456.25
116.86,453.55
117.51,448.49
118.07,437.74
118.7,462.4
119.29,456.55
119.92,463.91
120.47,465.2
121.07,459.93
121.64,456.44
122.28,466.05
122.85,466.47
123.45,465.91
124.04,465.98
124.64,465.44
125.26,458.89
125.88,457.54
126.51,465.22
127.12,458.52
127.78,452.52
128.4,440.84
128.97,436.03
129.63,433.34
130.27,425.11
130.88,421.24
131.44,463.17
132.03,462.84
132.67,463.68
133.22,463.59
133.85,463.79
134.46,452.52
135.09,448.13
135.73,448.14
136.32,438.25
136.97,443.41
137.64,414.27
138.25,415.82
138.83,424.92
139.43,448.96
140.68,461.54
141.23,462.06
141.84,461.64
142.41,462.34
143.03,462.54
143.66,458.76
144.27,453.86
144.86,459.8
145.58,453.59
146.16,450.69
146.78,465.01
147.32,458.06
147.95,455.51
148.57,460.28
149.14,457.72
149.76,463.72
150.43,453.09
151.06,451.05
151.65,449.03
152.29,439.4
152.92,429.67
154.12,462.71
154.7,461.51
155.28,462.04
155.93,462.53
157.14,440.03
157.82,441.79
158.39,443.14
158.99,463.03
159.57,462.0
160.14,462.59
160.75,459.25
161.34,457.87
161.98,463.69
162.59,463.48
163.1,463.68
163.72,463.88
164.27,463.63
164.9,463.78
165.54,458.23
166.17,458.68
166.78,459.24
167.39,450.3
167.99,444.34
168.61,438.93
169.27,430.79
169.9,422.58
171.06,463.87
171.69,460.81
172.29,460.94
172.88,462.03
174.07,462.53
174.72,454.45
175.29,436.39
175.89,451.62
176.49,441.29
177.18,424.9
177.79,415.24
178.45,402.17
179.03,453.37
179.65,459.46
180.2,460.37
180.84,460.27
181.39,461.18
182.04,461.46
182.6,461.32
183.14,461.33
183.75,461.68
184.36,458.29
184.97,459.55
185.63,459.94
186.78,451.11
187.43,456.86
187.96,458.68
188.61,458.83
189.26,454.51
189.9,461.47
190.43,450.75
191.08,444.57
191.69,439.09
192.34,432.72
192.95,436.55
193.54,465.25
194.11,460.5
194.74,460.78
195.33,461.12
195.96,449.87
196.64,447.86
197.28,444.5
197.85,441.32
199.55,456.99
200.17,458.16
200.77,454.95
201.41,456.04
202.0,454.25
202.56,461.25
203.12,461.66
203.78,461.56
204.31,462.06
204.93,461.98
205.49,462.03
206.16,455.73
206.78,458.24
207.39,448.56
208.01,443.87
208.65,432.84
210.48,409.32
211.1,457.78
211.7,458.65
212.28,459.2
212.87,459.83
213.55,459.65
214.1,450.94
214.74,446.13
215.33,441.51
215.97,440.18
216.62,433.45
217.24,413.2
217.88,397.09
218.51,440.26
219.13,445.94
220.27,458.05
220.91,458.98
221.5,459.22
222.09,459.32
222.64,459.36
223.3,455.08
223.91,453.85
224.5,452.76
225.74,458.18
226.3,444.9
226.9,459.69
227.51,460.28
228.11,452.87
229.39,454.27
230.03,457.37
230.64,452.94
231.23,437.84
231.85,427.97
232.5,416.02
233.12,435.56
233.69,458.02
234.26,458.58
234.81,459.02
235.47,459.38
236.06,440.13
236.7,437.77
237.38,434.77
237.97,448.33
238.54,459.6
239.1,459.29
239.73,459.81
240.38,459.78
240.97,450.69
242.13,460.04
242.71,460.15
243.28,459.96
243.89,460.16
244.53,460.2
245.19,451.87
246.37,456.74
246.99,445.84
247.64,432.91
248.32,420.69
248.92,405.59
250.14,452.4
250.69,455.76
251.29,456.76
251.86,457.05
252.47,457.64
253.09,458.32
253.74,445.97
254.33,445.63
254.94,448.44
255.56,446.43
256.85,401.18
257.48,417.76
258.08,432.27
258.71,438.08
259.25,455.97
259.89,456.47
260.5,456.74
261.06,456.99
262.24,457.18
262.91,452.31
263.46,444.05
264.09,457.33
265.36,457.74
265.94,449.33
266.55,454.26
267.15,446.96
267.73,458.44
268.35,458.2
268.95,455.0
269.62,449.7
270.22,450.9
270.84,441.82
271.46,428.47
272.11,416.2
272.66,408.65
273.29,454.88
273.85,456.19
274.46,457.18
275.04,457.16
275.73,437.63
276.34,438.44
276.95,429.67
277.51,453.77
278.14,453.41
278.67,457.45
279.3,457.68
279.93,457.95
280.47,451.48
281.1,458.14
281.7,458.47
282.26,458.64
282.86,458.65
283.46,458.55
284.06,458.49
284.68,457.58
285.31,457.29
285.92,453.21
286.52,447.48
287.2,433.02
287.81,414.38
288.41,402.95
289.04,394.03
289.64,443.21
290.2,454.05
290.79,454.54
291.43,455.53
292.08,455.9
292.72,451.71
293.28,448.39
293.89,443.19
294.51,435.84
295.14,429.79
296.46,408.91
297.04,431.15
297.64,435.91
298.21,442.0
298.82,453.79
299.5,454.43
300.03,454.87
300.65,455.37
301.2,455.36
301.76,455.77
302.39,455.8
303.07,451.98
304.25,448.14
304.87,447.5
305.42,453.37
306.05,456.43
306.64,457.06
307.89,450.74
308.52,450.72
309.1,450.76
309.74,446.13
310.32,443.24
311.01,427.07
311.61,418.17
312.18,406.63
312.82,450.58
313.42,454.12
314.01,454.73
314.62,455.25
315.28,436.12
315.91,432.27
316.52,443.22
317.02,454.08
317.63,454.49
318.24,455.36
318.85,455.82
319.43,449.4
320.03,453.78
321.54,451.32
321.81,456.67
322.37,456.67
322.98,456.79
323.62,456.93
324.23,451.94
325.46,456.16
326.09,442.88
326.7,428.23
327.32,413.78
328.0,402.02
328.58,392.68
329.72,452.23
330.33,453.4
330.94,453.59
331.59,454.06
332.21,451.1
332.82,436.75
333.41,437.35
334.03,436.08
334.64,437.01
335.32,418.23
335.97,402.65
336.57,417.76
337.17,442.87
337.76,448.53
338.34,452.33
339.0,452.16
339.57,453.13
340.19,453.57
340.76,453.63
341.33,453.83
341.98,453.22
342.55,447.87
343.17,451.28
343.75,445.32
344.36,455.42
344.98,453.79
345.58,444.83
346.2,452.67
346.8,452.24
347.43,451.59
348.04,448.91
348.68,451.28
349.29,447.98
349.93,443.67
350.54,438.99
351.17,432.16
351.75,433.91
352.35,454.43
352.93,454.37
353.48,454.94
354.13,454.44
354.79,447.83
355.39,435.76
355.98,430.94
356.57,423.41
357.22,453.08
357.8,453.62
358.41,454.55
359.01,449.64
359.66,447.2
360.21,446.88
360.79,455.45
361.36,455.38
361.97,455.17
362.56,455.12
363.16,455.26
363.79,450.6
364.4,451.4
365.01,455.84
365.65,447.65
366.28,430.07
366.93,419.67
367.58,405.27
368.21,392.22
368.76,432.66
369.36,450.31
369.98,451.4
370.58,451.98
371.16,452.41
371.74,453.25
372.41,441.9
373.0,445.9
373.61,440.99
374.28,436.42
374.93,434.23
375.55,409.87
376.14,390.75
376.77,427.93
377.39,436.47
378.01,440.78
379.21,451.13
379.78,451.35
380.36,451.39
380.95,451.86
381.54,452.26
382.15,448.52
382.76,447.83
383.4,443.73
384.02,445.09
384.6,453.12
385.16,451.83
385.79,452.05
386.45,447.32
387.6,453.28
388.21,450.34
388.88,444.86
389.49,446.08
390.12,419.9
390.75,409.05
391.36,396.24
391.91,449.75
393.05,451.04
393.67,450.83
394.31,452.14
394.96,438.28
395.56,436.65
396.2,438.39
396.74,450.87
397.38,451.79
397.97,447.18
398.55,452.08
399.19,444.87
399.74,441.4
400.29,453.81
400.91,452.77
401.52,452.64
402.09,452.83
402.73,453.09
403.33,452.9
403.92,446.38
404.52,444.24
405.21,438.68
405.85,432.52
406.48,423.69
407.15,415.22
407.68,410.57
408.24,450.15
408.82,451.37
409.44,451.91
410.02,452.11
410.63,452.1
411.85,447.45
412.46,441.33
413.15,441.04
413.77,438.84
414.38,437.64
415.04,423.96
415.68,394.25
416.26,418.48
416.84,446.89
417.41,449.62
418.1,449.23
418.65,450.72
419.18,451.27
419.79,451.07
420.37,451.02
420.97,451.61
421.62,451.45
422.17,448.37
422.79,445.97
423.42,444.15
423.98,446.38
424.6,447.69
425.26,449.32
425.86,441.71
426.46,453.55
427.06,452.13
427.71,451.37
428.35,446.22
428.93,444.19
429.58,436.67
430.19,432.1
430.81,430.58
431.46,428.22
432.01,449.88
432.61,450.81
433.2,451.37
433.83,451.6
434.45,445.29
435.09,438.45
435.72,431.67
436.31,426.63
436.88,426.77
437.5,448.58
438.66,451.41
439.29,444.7
439.88,441.13
440.48,451.21
441.11,451.69
441.65,451.9
443.21,451.6
443.45,448.55
444.05,450.6
444.69,447.6
445.36,446.38
445.96,443.64
446.59,437.46
447.22,418.76
447.83,409.84
448.45,400.68
449.05,427.73
449.63,447.7
450.2,448.52
450.79,448.43
451.39,449.11
452.04,449.76
452.63,445.38
453.27,442.78
453.87,441.4
454.52,437.58
455.13,430.1
455.72,425.35
456.37,421.4
457.03,415.59
457.69,408.19
458.3,403.01
458.91,438.96
459.52,441.52
460.1,446.8
460.7,447.8
461.88,448.09
462.49,448.3
463.07,448.42
463.6,448.74
464.28,442.2
464.86,445.21
466.69,441.57
467.26,441.53
467.89,449.64
468.44,449.53
469.73,443.83
470.35,438.99
470.94,430.62
471.6,423.86
472.15,424.52
472.81,448.18
473.4,449.1
473.98,449.12
474.57,449.44
475.18,442.32
475.82,437.25
476.46,434.28
477.1,430.07
477.69,426.33
478.26,450.32
478.83,448.82
479.42,449.25
480.02,446.95
480.65,446.49
481.85,450.79
482.42,450.12
482.97,449.95
483.58,450.01
484.23,450.08
484.84,448.13
485.45,448.0
486.69,450.4
487.31,437.22
487.9,424.37
488.62,418.39
489.23,409.04
489.8,402.23
490.38,444.93
490.97,447.3
491.56,447.76
492.18,447.88
492.75,447.84
493.39,446.85
493.98,440.52
494.62,437.95
495.26,437.31
495.88,433.7
496.52,426.58
497.19,429.34
497.76,404.97
498.45,389.44
499.0,432.14
499.58,444.37
500.78,446.45
501.36,446.96
501.97,447.29
502.56,447.25
503.17,447.2
503.79,443.22
504.34,441.08
504.96,444.42
505.58,443.73
506.16,442.28
506.77,440.06
507.39,442.95
508.03,441.04
509.2,447.95
509.75,448.17
510.41,441.81
511.0,443.64
511.65,440.32
512.29,437.63
512.97,426.86
513.53,416.85
514.15,409.92
514.69,445.49
515.29,446.13
515.88,446.88
516.49,447.07
517.12,436.92
517.77,431.64
518.39,423.63
519.55,444.3
520.17,446.7
520.79,445.54
521.36,443.75
521.96,439.37
522.57,447.63
523.12,447.98
524.31,448.12
524.9,448.08
525.51,447.87
526.13,448.0
526.69,438.4
527.36,442.15
527.97,435.96
528.6,434.97
529.27,417.52
529.85,407.61
530.47,399.32
531.11,392.65
531.69,440.18
532.85,444.61
533.42,444.98
534.02,445.52
534.68,437.53
535.29,434.31
535.92,430.28
536.58,427.17
537.21,423.8
537.83,388.76
538.46,411.41
539.1,424.6
539.8,428.3
540.33,429.43
540.9,443.41
541.5,443.78
542.1,443.63
542.7,444.42
543.3,444.35
543.86,444.62
544.52,443.55
545.13,437.38
545.71,432.68
546.32,444.09
546.98,444.3
547.58,439.53
548.12,439.75
548.7,438.35
549.35,442.13
549.91,445.41
550.55,440.52
551.18,441.07
551.78,432.53
552.42,428.82
553.03,427.25
553.63,416.73
554.27,418.64
554.86,444.06
556.08,442.27
556.77,439.47
557.33,436.0
557.94,428.24
558.6,420.92
559.23,416.56
559.8,443.23
560.34,444.32
560.9,444.57
561.49,444.26
562.12,439.88
562.74,445.91
563.34,445.38
565.67,445.05
566.31,441.59
566.9,441.09
567.54,440.66
568.17,441.44
568.84,433.4
569.44,414.02
570.02,401.18
570.65,389.7
571.3,400.59
571.86,437.87
572.45,441.81
573.06,441.96
573.64,442.28
574.25,443.18
574.85,437.36
575.48,430.02
576.15,432.72
576.77,433.92
577.38,432.16
578.01,425.63
578.66,392.98
579.25,382.69
579.84,437.61
580.44,441.04
581.05,441.67
581.62,442.52
582.17,442.76
582.77,442.65
583.38,442.81
583.97,442.8
584.59,443.17
585.12,443.15
585.73,439.95
586.35,439.09
586.97,433.9
587.56,437.09
588.17,442.18
588.75,440.88
589.38,436.0
589.91,444.49
590.53,439.52
591.15,441.08
591.75,436.79
592.4,440.91
593.02,434.25
593.63,429.72
594.25,417.29
594.86,412.88
595.47,442.37
596.06,443.53
596.62,443.61
597.23,443.76
597.88,443.95
598.53,435.92
599.13,433.07
599.69,431.56
600.89,443.82
601.49,436.37
602.1,438.12
602.74,436.46
603.91,443.74
604.46,443.21
605.06,441.24
605.71,440.58
606.29,444.79
606.85,444.66
607.44,444.72
608.01,444.75
608.63,444.74
609.23,443.61
609.87,440.91
610.42,442.35
611.08,440.44
611.73,436.32
612.37,432.2
612.92,431.68
613.55,432.17
614.17,438.34
614.77,433.8
615.38,434.91
615.94,437.51
616.57,444.25
617.17,444.16
617.72,444.49
618.32,443.98
618.95,441.37
619.61,439.0
620.21,438.63
620.84,438.31
621.44,437.67
622.09,436.86
622.7,436.68
623.32,436.4
623.89,435.66
624.54,432.93
625.2,434.22
625.88,401.07
626.58,393.4
627.19,422.41
627.73,439.91
628.35,440.8
628.91,440.92
629.52,441.1
630.11,441.32
630.68,441.72
631.87,442.11
632.44,442.28
633.06,437.41
633.7,437.46
634.31,433.15
634.88,435.7
635.44,440.4
636.06,435.89
636.71,439.86
637.38,440.19
638.04,433.43
638.65,430.45
639.32,413.21
639.91,401.29
640.5,442.52
641.04,440.56
641.68,440.92
642.32,437.99
642.98,432.58
643.63,430.72
644.29,421.17
644.84,411.94
645.44,437.37
646.03,435.06
646.65,435.49
647.2,441.31
647.82,440.69
648.37,437.95
648.99,442.06
649.57,441.97
650.17,441.85
650.75,442.03
651.34,442.16
651.93,439.14
652.5,441.86
653.17,433.52
653.82,431.39
654.5,424.2
655.19,404.96
655.81,397.31
656.43,386.71
656.99,431.26
658.18,438.07
658.82,438.41
659.98,434.6
660.6,431.12
661.24,428.83
661.88,426.07
663.19,423.34
663.88,410.19
664.55,394.02
665.21,403.5
665.87,427.77
666.5,426.5
667.05,432.35
667.62,436.98
668.2,437.82
668.85,437.88
669.46,437.7
670.02,428.06
670.61,430.7
671.19,433.09
671.77,435.35
672.45,437.26
673.01,432.0
673.6,434.51
674.18,433.97
674.77,431.67
675.36,439.27
675.97,437.16
677.29,434.62
677.91,429.1
678.6,424.0
679.17,412.24
679.78,411.37
680.39,437.48
680.99,437.72
681.64,438.04
682.31,437.24
682.89,432.64
683.56,422.9
684.17,417.02
684.79,412.82
685.44,435.63
685.98,428.55
687.75,427.83
688.35,432.58
688.92,440.4
690.1,438.58
690.75,438.82
691.3,437.74
691.87,438.93
692.53,439.16
693.22,434.12
693.88,432.46
694.53,423.79
695.2,407.67
695.84,395.24
696.49,385.59
697.09,425.07
697.72,435.05
698.3,435.37
698.84,435.42
699.46,436.58
700.12,422.31
700.75,425.14
701.38,426.05
702.04,418.33
702.67,411.84
703.32,407.62
703.98,398.96
704.68,403.2
705.25,425.93
705.9,433.64
706.49,434.55
707.07,415.63
707.65,436.31
708.25,435.27
708.86,435.51
709.45,435.54
710.03,435.96
710.62,436.23
711.22,427.77
711.8,435.11
712.44,433.09
713.05,433.79
713.61,436.94
714.18,437.1
714.78,437.33
715.39,438.0
715.96,437.7
716.62,437.85
717.1,437.85
717.72,437.99
718.32,438.08
718.92,438.12
719.48,438.33
720.07,438.48
720.69,438.59
721.29,438.67
721.89,438.79
722.49,438.97
723.03,438.97
723.62,439.23
724.19,439.3
724.84,439.4
725.45,439.44
725.99,439.55
727.15,439.68
727.79,439.84
728.37,439.88
728.98,439.99
729.59,440.01
730.17,440.08
730.76,440.13
731.37,438.53
732.06,438.22
732.75,436.73
733.41,434.83
734.12,433.46
734.68,431.97
735.29,430.92
735.86,429.53
736.48,440.0
737.1,432.7
737.69,437.6
738.29,437.27
738.85,434.81
739.47,435.58
740.08,435.12
740.67,437.3
741.25,436.27
741.8,439.3
742.37,438.71
742.96,439.66
743.6,439.73
744.22,439.79
744.78,439.87
745.93,439.52
746.59,437.71
747.15,438.51
747.78,437.07
748.45,434.01
749.12,433.03
749.71,429.26
750.35,427.1
751.03,428.05
751.67,423.2
752.28,417.72
752.83,438.55
753.47,439.14
754.01,439.5
754.63,439.13
755.19,439.2
755.78,437.21
756.41,435.73
756.97,435.09
757.57,433.34
758.17,432.23
758.79,431.41
759.36,438.96
759.96,439.35
760.55,439.5
761.12,439.67
761.71,439.7
762.32,439.8
764.15,439.96
764.68,439.88
765.27,439.98
765.87,440.06
767.09,440.18
767.72,440.24
768.36,440.27
768.96,440.34
769.59,440.39
770.25,440.43
770.89,440.48
772.16,440.55
772.78,440.57
773.41,440.62
774.03,440.66
775.26,440.73
775.91,440.75
776.55,440.77
777.74,440.83
778.39,440.86
779.07,440.88
779.68,440.91
780.27,440.94
780.87,440.96
781.52,440.99
782.16,441.01
782.71,441.03
783.41,441.06
784.06,441.06
784.61,441.1
785.2,441.12
785.84,441.15
786.49,441.16
787.1,441.18
788.38,441.21
788.96,441.22
789.58,441.23
791.39,441.38
792.05,441.4
792.57,441.42
793.15,441.44
793.72,441.45
794.32,441.47
794.92,441.48
795.55,441.5
796.11,441.51
796.69,441.53
797.3,441.55
797.91,441.56
798.47,441.57
799.1,441.59
799.6,441.6
800.23,441.62
800.86,441.62
801.45,441.64
803.18,441.67
803.77,441.69
804.41,441.71
805.57,441.72
806.14,441.74
806.72,441.76
807.34,441.77
809.21,441.81
811.2,441.82
811.51,441.85
812.08,441.86
812.69,441.87
813.25,441.88
815.05,441.91
815.62,441.93
816.2,441.94
816.8,441.95
817.37,441.95
817.98,441.97
818.59,441.98
819.22,441.99
819.77,441.99
820.37,442.0
820.93,442.02
821.57,442.03
822.17,442.03
822.79,442.04
823.31,442.06
823.89,442.07
824.5,442.07
825.1,442.08
825.67,442.09
826.3,442.1
826.88,442.1
827.46,442.12
828.04,442.13
828.66,442.14
829.23,442.14
829.83,442.15
830.4,442.16
831.63,442.17
832.17,442.19
832.8,442.2
833.39,442.21
833.99,442.21
834.58,442.22
835.15,442.23
835.74,442.24
836.31,442.24
836.92,442.25
837.47,442.26
838.09,442.27
838.71,442.27
839.25,442.28
839.91,442.29
840.49,442.3
841.04,442.3
841.66,442.31
842.21,442.32
842.86,442.33
843.49,442.33
844.03,442.34
845.22,442.36
845.8,442.35
846.41,442.36
847.0,442.37
847.59,442.38
848.17,442.38
848.75,442.39
849.34,442.4
849.93,442.41
850.54,442.41
851.12,442.42
851.73,442.43
852.33,442.44
852.86,442.43
853.46,442.44
854.04,442.45
854.68,442.46
855.3,442.46
855.84,442.47
856.44,442.48
857.63,442.48
858.22,442.49
858.8,442.5
859.45,442.51
859.97,442.5
860.58,442.51
861.15,442.52
861.75,442.53
862.36,442.53
862.97,442.54
863.57,442.55
864.18,442.55
864.73,442.55
865.32,442.56
865.92,442.57
866.5,442.57
867.1,442.57
867.68,442.58
868.29,442.59
869.5,442.59
870.03,442.6
871.22,442.62
871.83,442.61
872.45,442.62
873.02,442.63
874.17,442.63
874.77,442.64
875.37,442.65
877.15,442.66
877.71,442.67
878.33,442.67
878.96,442.67
879.5,442.68
880.1,442.68
880.71,442.69
881.3,442.68
881.86,442.69
882.47,442.7
883.1,442.71
883.66,442.7
884.26,442.71
884.82,442.72
886.0,442.72
886.58,442.72
887.25,442.73
887.82,442.74
888.42,442.73
889.01,442.74
889.59,442.75
890.18,442.75
890.78,442.75
891.34,442.76
892.54,442.77
893.14,442.76
893.73,442.77
894.31,442.78
894.89,442.78
895.48,442.78
896.09,442.79
896.7,442.79
897.3,442.8
897.86,442.79
898.4,442.8
899.01,442.81
899.64,442.81
900.23,442.8
901.4,442.82
902.03,442.82
903.19,442.83
903.72,442.83
904.32,442.84
904.95,442.83
905.53,442.84
906.14,442.85
906.71,442.85
907.33,442.84
907.93,442.85
908.49,442.86
909.11,442.86
910.25,442.86
910.86,442.87
911.47,442.87
912.03,442.87
912.62,442.87
913.21,442.88
914.49,442.88
915.04,442.88
915.55,442.89
916.2,442.9
916.77,442.89
917.39,442.9
918.01,442.9
918.62,442.91
919.13,442.9
919.76,442.91
